,temperature_text,color_code,url_suffix,temperature,coordinates_str,lat,long
14,"46.4 °C (115.5 °F)
",#BB0000,"/wiki/Yola,_Nigeria",46.4,"('9°14′N', '12°28′E')",9.233333333333333,12.466666666666667
15,"36.9 °C (98.4 °F)
",#FF1F00,"/wiki/Le_Port,_R%C3%A9union",36.9,"('20°56′22″S', '55°17′14″E')",-20.939444444444444,55.28722222222222
16,"50.0 °C (122.0 °F)
",#890000,"/w/index.php?title=Dunbrody,_Eastern_Cape&action=edit&redlink=1",50.0,"(None, None)",,
17,"49.7 °C (121.5 °F)
",#8D0000,/wiki/Dongola,49.7,"('19°10′11.37″N', '30°28′29.62″E')",19.169825,30.47489444444444
18,"55 °C (131 °F)
",#440000,/wiki/Kebili,55.0,"('33°42′18″N', '08°57′54″E')",33.705000000000005,8.965
19,"50.7 °C (123.3 °F)
",#800000,/wiki/Semara,50.7,"('26°44′22″N', '11°40′13″W')",26.739444444444445,-11.670277777777777
20,"42.4 °C (108.3 °F)
",#F20000,/wiki/Mfuwe,42.4,"('12°53′50″S', '31°55′40″E')",-12.897222222222222,31.92777777777778
21,"19.8 °C (67.6 °F)
",#FF952C,/wiki/Signy_Research_Station,19.8,"('60°42′30″S', '45°35′42″W')",-60.708333333333336,-45.595
22,"37.0 °C (98.6 °F)
",#FF1F00,"/wiki/Sukhumi,_Abkhazia",37.0,"('43°00′N', '41°01′E')",43.0,41.016666666666666
23,"49.9 °C (121.8 °F)
",#8B0000,"/wiki/Farah,_Afghanistan",49.9,"('32°20′37″N', '62°7′10″E')",32.343611111111116,62.11944444444445
24,"45.1 °C (113.2 °F)
",#CD0000,/wiki/Rajshahi,45.1,"('24°22′N', '88°36′E')",24.366666666666667,88.6
25,"40.0 °C (104.0 °F)
",#FF0A00,/wiki/Phuentsholing,40.0,"('26°51′N', '89°23′E')",26.85,89.38333333333334
26,"42.6 °C (108.7 °F)
",#EF0000,/wiki/Preah_Vihear_Province,42.6,"('13°47′N', '104°58′E')",13.783333333333333,104.96666666666667
27,"52.2 °C (126.0 °F)
",#6B0000,"/w/index.php?title=Sanbao_Township,_Xinjiang&action=edit&redlink=1",52.2,"(None, None)",,
